time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
9961472,80,76,191,1855,0.8659585230146687,52003,0.150848,0.9200385212898254,0.0022614566,1.5925600044429302,0.7830451726913452,0.0002049728,0.030656814575195312,-0.17028825101442635,299,-0.0005658558156937943,0.0,0.9037436358191074,0.5392906133646874,17.929481506347656,0.68,71.53,,,
10092544,80,77,194,1943,0.8654314968308142,52015,0.15019264,0.9173504710197449,0.0038478111,1.7204198986291885,0.8242385387420654,0.00020370577066666665,0.0404510498046875,-0.170922965509817,303,0.0004754816382046556,0.0,0.9021876568625582,0.5270534139581758,18.032180786132812,0.71,68.83,,,
10223616,80,78,196,1882,0.8693715982187036,52043,0.14953728,0.9044944643974304,0.002904432,1.8780412636697292,0.9747964143753052,0.0002024387413333333,0.055728912353515625,-0.16877898946404457,307,0.0021331089901650557,0.0,0.9088505792366933,0.5368831435313429,17.638978958129883,0.76,62.03,,,
10354688,80,79,198,1802,0.8801033591731267,52045,0.14888192,0.9107239842414856,0.0021417201,1.7602905314415693,0.831619381904602,0.00020117171199999996,0.03964996337890625,-0.1687751712743193,311,0.00010951295735139865,0.0,0.9017826557597184,0.5285430753187338,20.947093963623047,0.64,83.92,,,
10485760,,,,,,,0.14822656,0.9114375710487366,0.002340507,1.7830632608383894,0.8394642472267151,0.00019990468266666667,0.033718109130859375,-0.16809965064749122,315,-0.000502387052620179,,,,,,,181.34,0.0,42.26970672607422
10485760,80,80,202,1947,0.8797437161163134,51708,,,,,,,,,,,0.0,0.8986474918678308,0.5374800637958533,19.720394134521484,0.65,80.62,,,
10616832,80,81,205,1925,0.8665377176015474,51742,0.1475712,0.9145469665527344,0.0020777236,1.7425195407122374,0.8150962591171265,0.00019863765333333333,0.03502845764160156,-0.16369115468114614,319,-0.00014639495657320367,0.0,0.9103735770402438,0.5304146349897984,19.12617301940918,0.69,74.84,,,
10747904,80,82,207,1868,0.8780971258671952,51791,0.14691584000000002,0.908821165561676,0.0020395215,1.8272653631865978,0.8748366832733154,0.000197370624,0.0315704345703125,-0.16215466824360192,323,-0.00044531572893902194,0.0,0.9103880825865124,0.5337213403880071,17.587120056152344,0.77,63.89,,,
10878976,80,83,209,1939,0.8521951219512195,51828,0.14626048,0.9157376885414124,0.0030504093,1.6952245328575373,0.8565505146980286,0.00019610359466666665,0.03450965881347656,-0.16503288131207228,327,-0.00015545528549409937,0.0,0.9024124691994728,0.5280078707670824,18.071651458740234,0.7,69.36,,,
11010048,80,84,212,1959,0.8818973862536302,51854,0.14560512,0.9046250581741333,0.0020316904,1.9850495718419552,1.002797245979309,0.0001948365653333333,0.052867889404296875,-0.16235424671322107,331,0.001859177647929755,0.0,0.9054128145501295,0.5379951622530079,19.787260055541992,0.65,73.75,,,
11141120,80,85,214,1985,0.85955847815876,51883,0.14494975999999998,0.9114437699317932,0.0037373386,1.7752916496247053,0.8417876958847046,0.00019356953599999996,0.03330802917480469,-0.1605628877878189,335,0.00012215060542075662,0.0,0.9130267126908604,0.5302399778055208,18.002119064331055,0.69,68.89,,,
11272192,80,86,217,1944,0.8628211342704799,51919,0.1442944,0.9117965698242188,0.0015337507,1.8355104625225067,0.8771362900733948,0.00019230250666666662,0.027879714965820312,-0.162410706281662,339,-0.001354783398710424,0.0,0.9049115988416401,0.5267165678364277,17.998741149902344,0.69,72.27,,,
11403264,80,87,219,1864,0.8773965691220988,51931,0.14363904,0.9109421968460083,0.005044594,1.8493408262729645,0.8598611950874329,0.00019103547733333333,0.042255401611328125,-0.16474241553805768,343,0.00040129662011167966,0.0,0.9024267472050018,0.5348070583672678,16.55992889404297,0.74,61.08,,,
11534336,80,88,222,1837,0.8808184143222506,51942,0.14298368,0.9186167120933533,0.0019286256,1.678179144859314,0.7364121079444885,0.000189768448,0.033863067626953125,-0.1618769010528922,347,-0.00016967914416454732,0.0,0.9008985396210945,0.5333527244522008,18.309749603271484,0.68,71.26,,,
