time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
63,0.6146366427840327,1851,255,34095,16515072,484,0.11033700365538991,0.175620608,0.8573887944221497,2.8451887555078628,0.016549842,0.0002528665088,0.003583667337373241,-0.3737136885660504,178,1.4286799430847168,0.8575938681793626,0.51,0.0,24.089183807373047,0.38476070528967254,121.86,,,
,,,,,16777216,,0.11362266540527344,0.175227392,0.8520700931549072,2.7919364664703608,0.010659611,0.0002521062912,0.0032443045211039134,-0.37311996798962355,182,1.2634681463241577,,,,,,,592.61,99.04861450195312,0.0
64,0.6059165346011621,1751,255,33701,16777216,497,,,,,,,,,,,0.8620855047115934,0.43,0.0,30.919565200805664,0.37752051326815644,161.5,,,
65,0.6487455197132617,1803,255,33862,17039360,503,0.12939453125,0.174834176,0.8682072758674622,2.6240388325282504,0.035529893,0.0002513460736,0.0075293842370488815,-0.3692077798502786,184,1.3282240629196167,0.8702899681087077,0.46,0.0,39.144203186035156,0.37997767857142856,216.88,,,
66,0.7142096860031932,1708,255,33808,17301504,511,0.10259723663330078,0.17444096,0.8655421733856201,2.552541373297572,0.018913943,0.000250585856,0.002817936669998744,-0.3651266135275364,188,1.1273438930511475,0.8725025614754098,0.59,0.0,24.64812660217285,0.3748693958966565,112.9,,,
67,0.7316428948758584,1758,255,33770,17563648,520,0.09058094024658203,0.174047744,0.8658592700958252,2.287945782765746,0.0054928474,0.0002498256384,0.0011651666991383536,-0.3565108967013657,192,1.0422402620315552,0.8650499502275313,0.56,0.0,33.11690139770508,0.38276969178082193,164.16,,,
68,0.7626112759643917,1867,255,33752,17825792,528,0.11369945384837964,0.173654528,0.8529314994812012,2.4123063771813005,0.01440388,0.0002490654208,0.003458213686287679,-0.3498501071223506,196,1.1569463014602661,0.8787242233529727,0.58,0.0,28.643293380737305,0.3780004528985507,127.75,,,
69,0.7673293927995701,1748,255,33904,18087936,533,0.118408203125,0.173261312,0.8552173972129822,2.414980341990789,0.012574171,0.0002483052032,0.0066115582594648,-0.3487742741902669,197,1.2266876697540283,0.8557950157322655,0.55,0.0,35.849952697753906,0.37689760981912146,171.11,,,
70,0.7952182952182952,1818,255,33974,18350080,540,0.1283079335387324,0.172868096,0.8520960807800293,2.508282201390871,0.033626538,0.0002475449856,0.005061321962349327,-0.35026058008973027,200,1.167858600616455,0.8605030424917491,0.66,0.0,28.754039764404297,0.3797687975888325,127.0,,,
71,0.803729146221786,1952,247,33977,18612224,547,0.12274105674342105,0.17247488,0.85944002866745,2.418788796976993,0.017222194,0.00024678476799999997,0.003798205499831391,-0.34313037834669413,203,1.1535061597824097,0.8632532338627049,0.62,0.0,31.392333984375,0.3784816576086957,148.72,,,
,,,,,18874368,,0.150909423828125,0.17208166400000002,0.866573691368103,2.57646644115448,0.026187913,0.0002460245504,0.012721554085146636,-0.3431791439652443,204,1.3867290019989014,,,,,,,592.93,100.73831176757812,0.0
72,0.7178612059158134,1224,247,33890,18874368,556,,,,,,,,,,,0.8163009344362745,0.43,0.0,40.36982727050781,0.3805819746376812,221.25,,,
73,0.6070359281437125,1205,247,33839,19136512,565,0.1165151596069336,0.17168844800000002,0.8762519955635071,2.1058305921033025,0.008813895,0.0002452643328,0.0021611796073557343,-0.33372882031835616,208,0.9521445631980896,0.7957047458506225,0.45,0.0,41.51881790161133,0.38682461043360433,232.25,,,
74,0.5905024088093599,1332,247,33841,19398656,573,0.1230633075420673,0.17129523200000002,0.8635661005973816,2.3712264712040243,0.01824021,0.00024450411520000003,0.004186231342968172,-0.3173996553971217,212,1.1508831977844238,0.8085262997372372,0.46,0.0,42.680686950683594,0.3818539742744063,240.37,,,
75,0.5625,1445,247,33977,19660800,578,0.08078163548519737,0.170902016,0.8631396889686584,2.5934797525405884,0.021948265,0.00024374389759999998,0.0024652819143069025,-0.3078281777469735,214,1.2993680238723755,0.8200286548442907,0.38,0.0,36.66780090332031,0.37816022877984085,203.26,,,
76,0.5295202952029521,1483,247,33930,19922944,587,0.08641529083251953,0.17050880000000002,0.8422532081604004,3.0416723154485226,0.0038767436,0.00024298368,0.0010740144625742687,-0.30089954659342766,218,1.5697764158248901,0.8324052806810519,0.39,0.0,39.369140625,0.3784357492997199,221.93,,,
77,0.6025878003696857,1476,247,33876,20185088,595,0.07868194580078125,0.17011558400000001,0.8359068036079407,3.0119452867656946,0.007876804,0.00024222346239999998,0.0011146117312819115,-0.28767925105057657,222,1.5196818113327026,0.8364032859078591,0.54,0.0,29.455698013305664,0.37965872875354106,155.34,,,
78,0.619375,1427,247,34017,20447232,601,0.068695068359375,0.169722368,0.8561379909515381,2.83775623355593,0.007641554,0.00024146324479999996,0.004243813039335821,-0.2798068257314818,223,1.43520188331604,0.8411029476173791,0.51,0.0,32.89362335205078,0.37767584097859325,177.43,,,
79,0.6771907216494846,1346,247,33964,20709376,609,0.09647464752197266,0.169329152,0.8628650307655334,2.6241053137928247,0.01250249,0.00024070302719999997,0.00324583148722013,-0.27744931541383266,227,1.2016366720199585,0.8529468099925706,0.59,0.0,42.21025848388672,0.3839152848639456,220.81,,,
,,,,,20971520,,0.058793067932128906,0.168935936,0.887934684753418,2.1276694694533944,0.0040644514,0.00023994280959999998,-0.0005900908536204952,-0.2734389847610146,231,0.9913089871406555,,,,,,,596.85,101.62438201904297,0.0
80,0.7327422419252692,1419,247,33674,20971520,622,,,,,,,,,,,0.845096128435518,0.5,0.0,41.98939514160156,0.39952895220588236,231.68,,,
81,0.7053789731051344,1523,247,33783,21233664,628,0.04642630912162162,0.16854272,0.8863918781280518,2.2192868026527197,0.016043013,0.000239182592,0.002150949279500826,-0.2680179388136477,233,1.1550294160842896,0.8321364084044649,0.48,0.0,39.001380920410156,0.38936329134366926,219.69,,,
82,0.7145411203814065,1463,247,33742,21495808,637,0.11208248138427734,0.168149504,0.8556622266769409,2.653180565685034,0.0129308645,0.0002384223744,0.003765691979424446,-0.27177053573541343,237,1.1901551485061646,0.8661995898838004,0.65,0.0,33.72767639160156,0.3759731359649123,163.37,,,
83,0.7075640262060751,1485,247,33850,21757952,642,0.09295184795673077,0.16775628800000003,0.8633368015289307,2.443635200842833,0.029927714,0.0002376621568,0.005516874705417416,-0.2668697566558153,239,1.152666687965393,0.8560369318181819,0.51,0.0,35.08088302612305,0.36750663807189543,190.17,,,
84,0.6855733662145499,1379,247,33941,22020096,648,0.11927577427455358,0.167363072,0.8429989814758301,2.8417851797172,0.016781848,0.00023690193919999997,0.005227863489251051,-0.2765155993402004,241,1.249403715133667,0.867603902284264,0.63,0.0,36.56136703491211,0.3606821498054475,189.67,,,
85,0.8289817232375979,1285,239,33892,22282240,657,0.10474777221679688,0.166969856,0.8620248436927795,2.246844115667045,0.007940339,0.00023614172159999998,0.0029789626496494748,-0.26518395473249257,245,0.9442516565322876,0.8672726167315176,0.73,0.0,31.7257137298584,0.3602087450592885,145.32,,,
86,0.8295964125560538,1196,231,33861,22544384,665,0.07094669342041016,0.16657664,0.8779545426368713,1.8039149064570665,0.011728469,0.000235381504,-0.0001299632340305834,-0.2632273002527654,249,0.8056883215904236,0.8315511339882943,0.5,0.0,50.152565002441406,0.36703330592105265,298.52,,,
