time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
37287,2523136,67,926,77,-0.23116772435605526,-0.00038202284849830903,0.000155558656,0.8347732181425486,4.747580364346504,304,0.9797516198704104,0.12528896,0.5232782363891602,22.666078567504883,2.5608606338500977,0.0014027997,0.82,34.92,0.9797516198704104,0.02858734130859375,,,
37290,2555904,68,938,78,-0.22379813436418772,-0.0005183786997804418,0.000153658112,0.835820895522388,4.232793845236301,308,0.9795442430703625,0.12430591999999999,0.538054347038269,22.885845184326172,2.014514923095703,0.0014950831,0.84,35.15,0.9795442430703625,0.02765655517578125,,,
37317,2588672,69,916,79,-0.22358473017811775,-0.0006823737057857215,0.000151757568,0.8144104803493449,4.4470571875572205,312,0.974754366812227,0.12332288,0.5396409034729004,22.62496566772461,2.226818323135376,0.0017585177,0.82,36.03,0.974754366812227,0.03737640380859375,,,
,2621440,,,,-0.22492284048348665,-0.0007482912042178214,0.000149857024,,4.757524445652962,316,,0.12233983999999999,0.531952977180481,,2.4793195724487305,0.0011641049,,,,0.02167510986328125,22.66628646850586,0.82,34.71
37161,2621440,70,917,80,,,,0.826608505997819,,,0.9775763358778626,,,22.036317825317383,,,0.78,34.68,0.9775763358778626,,,,
37176,2654208,71,943,81,-0.22234273282811046,-0.00045166079871705733,0.00014795648,0.823966065747614,4.376243934035301,320,0.9781283138918345,0.1213568,0.5391843318939209,22.765914916992188,2.0701229572296143,0.0020707268,0.83,35.08,0.9781283138918345,0.0404205322265625,,,
37204,2686976,72,928,82,-0.22301172092556953,-0.0006529431993840262,0.000146055936,0.84375,4.555200636386871,324,0.9795258620689655,0.12037376,0.5420545339584351,23.26599884033203,2.1509368419647217,0.0009256944,0.87,35.0,0.9795258620689655,0.01833343505859375,,,
37249,2719744,73,928,83,-0.21903106337413192,-0.0005686304684786592,0.000144155392,0.8146551724137931,3.9914683401584625,328,0.9770339439655172,0.11939072,0.5566314458847046,22.355314254760742,2.100364923477173,0.0012009785,0.8,35.68,0.9770339439655172,0.02838134765625,,,
37286,2752512,73,910,84,-0.22186170099303126,-0.000736217798475991,0.000142254848,0.8307692307692308,4.566025942564011,332,0.977815934065934,0.11840768,0.534064769744873,22.355653762817383,2.0721564292907715,0.0011156937,0.8,35.34,0.977815934065934,0.02747344970703125,,,
37327,2785280,74,927,85,-0.22151248110458255,-0.0007161415123846382,0.000140354304,0.8263214670981661,4.241860099136829,336,0.977953074433657,0.11742464000000001,0.5490875244140625,23.105134963989258,1.874281883239746,0.0015826183,0.86,35.86,0.977953074433657,0.03757476806640625,,,
37365,2818048,75,921,86,-0.21996401203796268,-0.0008660170788061805,0.00013845376,0.8349619978284474,4.343774184584618,340,0.9779451682953312,0.1164416,0.5532020330429077,22.516277313232422,2.0640206336975098,0.001547968,0.82,34.72,0.9779451682953312,0.03240966796875,,,
37384,2850816,76,930,87,-0.21835310524329543,-0.0001819595054257661,0.00013655321599999998,0.8247311827956989,4.292394749820232,344,0.9776209677419355,0.11545855999999999,0.5490661859512329,22.645864486694336,2.205852746963501,0.0012306625,0.82,35.13,0.9776209677419355,0.0364532470703125,,,
37392,2883584,77,935,88,-0.21856612153351307,-0.0005811805931443814,0.000134652672,0.8288770053475936,4.458429336547852,348,0.9749331550802139,0.11447552,0.5487443804740906,22.386056900024414,2.0907559394836426,0.0012084604,0.81,34.94,0.9749331550802139,0.03046417236328125,,,
37444,2916352,77,942,89,-0.22009099880233407,-0.0006191178072185721,0.00013275212799999998,0.8407643312101911,4.512475803494453,352,0.9785695329087049,0.11349247999999999,0.5422072410583496,22.76553726196289,2.2027816772460938,0.0010802415,0.83,35.46,0.9785695329087049,0.025909423828125,,,
,2949120,,,,-0.21706996392458677,-0.0008247621663031168,0.00013085158400000002,,4.334071762859821,356,,0.11250944,0.546912431716919,,2.1559994220733643,0.001331354,,,,0.03168487548828125,23.737655639648438,0.91,33.34
37365,2949120,78,942,90,,,,0.8439490445859873,,,0.9796974522292994,,,23.385717391967773,,,0.88,35.28,0.9796974522292994,,,,
